created_at,account_id,product_code,product_name,actress,genre,template_type,variant,experiment_id,post_text,normal_price,sale_price,deadline,reward_type,affiliate_url,score,bucket,score_detail,notes
2026-06-13T22:19:33,sale_flash,urvrsp00492,【VR】【8K VR】3年H組ハーレム美少女祭り！ 全員と生中出し放題SP学園祭！,那賀崎ゆきね、沙月恵奈,VR,単品VRセール型,price_first,20260613-urvrsp00492-price_first,"【VRセール情報】
那賀崎ゆきね、沙月恵奈さんの8KVR『3年H組ハーレム美少女祭り』
今なら30%OFFの大特価！
通常2,980円 ➔ 2,086円。

学園シチュの距離感がVRと相性よすぎます…！
6/16までなのでこのチャンスをお見逃しなく！

#那賀崎ゆきね #VR動画 #FANZA #セール
https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3Durvrsp00492&af_id=hirohirohota-990&ch=api",2980,2086,6/16まで,direct,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3Durvrsp00492&af_id=hirohirohota-990&ch=api,53.0996,high_commission_individual,"{""total_score"": 53.0996, ""review_score"": 20.8956, ""commission_score"": 29.204, ""discount_score"": 3.0, ""deadline_score"": 0.0, ""expected_commission"": 1460.2}",価格差から始める
2026-06-13T22:19:33,sale_flash,urvrsp00492,【VR】【8K VR】3年H組ハーレム美少女祭り！ 全員と生中出し放題SP学園祭！,那賀崎ゆきね、沙月恵奈,VR,単品VRセール型,deadline_first,20260613-urvrsp00492-deadline_first,"【VRセール情報】
那賀崎ゆきね、沙月恵奈さんの8KVR『3年H組ハーレム美少女祭り』
6/16までのセール対象！
通常2,980円 ➔ 2,086円。

学園シチュの距離感がVRと相性よすぎます…！
価格が戻る前にこのチャンスをお見逃しなく！

#那賀崎ゆきね #VR動画 #FANZA #セール
https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3Durvrsp00492&af_id=hirohirohota-990&ch=api",2980,2086,6/16まで,direct,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3Durvrsp00492&af_id=hirohirohota-990&ch=api,53.0996,high_commission_individual,"{""total_score"": 53.0996, ""review_score"": 20.8956, ""commission_score"": 29.204, ""discount_score"": 3.0, ""deadline_score"": 0.0, ""expected_commission"": 1460.2}",期限から始める
2026-06-13T22:19:33,sale_flash,urvrsp00492,【VR】【8K VR】3年H組ハーレム美少女祭り！ 全員と生中出し放題SP学園祭！,那賀崎ゆきね、沙月恵奈,VR,単品VRセール型,actress_first,20260613-urvrsp00492-actress_first,"【VRセール情報】
那賀崎ゆきね、沙月恵奈さんの8KVR『3年H組ハーレム美少女祭り』
今なら30%OFFの大特価！
通常2,980円 ➔ 2,086円。

学園シチュの距離感がVRと相性よすぎます…！
6/16までなのでこのチャンスをお見逃しなく！

#那賀崎ゆきね #VR動画 #FANZA #セール
https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3Durvrsp00492&af_id=hirohirohota-990&ch=api",2980,2086,6/16まで,direct,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3Durvrsp00492&af_id=hirohirohota-990&ch=api,53.0996,high_commission_individual,"{""total_score"": 53.0996, ""review_score"": 20.8956, ""commission_score"": 29.204, ""discount_score"": 3.0, ""deadline_score"": 0.0, ""expected_commission"": 1460.2}",女優名から始める
2026-06-13T22:19:33,sale_flash,savr01028,【VR】【KMPVR-彩-1，000タイトル突破記念版】果てたら負け！何度射精してもクラスの女子が目の色を変えて僕をイカせまくる学園SEXバトルロワイヤル,小那海あや、北岡果林,VR,単品VRセール型,price_first,20260613-savr01028-price_first,"【VRセール情報】
小那海あや、北岡果林さんの人気VR『果てたら負け』
今なら30%OFFの大特価！
通常1,980円 ➔ 1,386円。

学園シチュの距離感がVRと相性よすぎます…！
6/16までなのでこのチャンスをお見逃しなく！

#小那海あや #VR動画 #FANZA #セール
https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3Dsavr01028&af_id=hirohirohota-990&ch=api",1980,1386,6/16まで,direct,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3Dsavr01028&af_id=hirohirohota-990&ch=api,41.9899,high_commission_individual,"{""total_score"": 41.9899, ""review_score"": 19.5859, ""commission_score"": 19.404, ""discount_score"": 3.0, ""deadline_score"": 0.0, ""expected_commission"": 970.2}",価格差から始める
2026-06-13T22:19:33,sale_flash,savr01028,【VR】【KMPVR-彩-1，000タイトル突破記念版】果てたら負け！何度射精してもクラスの女子が目の色を変えて僕をイカせまくる学園SEXバトルロワイヤル,小那海あや、北岡果林,VR,単品VRセール型,deadline_first,20260613-savr01028-deadline_first,"【VRセール情報】
小那海あや、北岡果林さんの人気VR『果てたら負け』
6/16までのセール対象！
通常1,980円 ➔ 1,386円。

学園シチュの距離感がVRと相性よすぎます…！
価格が戻る前にこのチャンスをお見逃しなく！

#小那海あや #VR動画 #FANZA #セール
https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3Dsavr01028&af_id=hirohirohota-990&ch=api",1980,1386,6/16まで,direct,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3Dsavr01028&af_id=hirohirohota-990&ch=api,41.9899,high_commission_individual,"{""total_score"": 41.9899, ""review_score"": 19.5859, ""commission_score"": 19.404, ""discount_score"": 3.0, ""deadline_score"": 0.0, ""expected_commission"": 970.2}",期限から始める
2026-06-13T22:19:33,sale_flash,savr01028,【VR】【KMPVR-彩-1，000タイトル突破記念版】果てたら負け！何度射精してもクラスの女子が目の色を変えて僕をイカせまくる学園SEXバトルロワイヤル,小那海あや、北岡果林,VR,単品VRセール型,actress_first,20260613-savr01028-actress_first,"【VRセール情報】
小那海あや、北岡果林さんの人気VR『果てたら負け』
今なら30%OFFの大特価！
通常1,980円 ➔ 1,386円。

学園シチュの距離感がVRと相性よすぎます…！
6/16までなのでこのチャンスをお見逃しなく！

#小那海あや #VR動画 #FANZA #セール
https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3Dsavr01028&af_id=hirohirohota-990&ch=api",1980,1386,6/16まで,direct,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3Dsavr01028&af_id=hirohirohota-990&ch=api,41.9899,high_commission_individual,"{""total_score"": 41.9899, ""review_score"": 19.5859, ""commission_score"": 19.404, ""discount_score"": 3.0, ""deadline_score"": 0.0, ""expected_commission"": 970.2}",女優名から始める
2026-06-13T22:19:33,sale_flash,pxvr00292,【VR】42人の放課後天使と33時間20分！！ナマ中出しいちゃシコ美少女制服プレイ！！,佐藤しお、新井リマ,VR,単品VRセール型,price_first,20260613-pxvr00292-price_first,"【VRセール情報】
佐藤しお、新井リマさんの人気VR『42人の放課後天使と33時間20分』
今なら30%OFFの大特価！
通常590円 ➔ 413円。

学園シチュの距離感がVRと相性よすぎます…！
6/16までなのでこのチャンスをお見逃しなく！

#佐藤しお #VR動画 #FANZA #セール
https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3Dpxvr00292&af_id=hirohirohota-990&ch=api",590,413,6/16まで,direct,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3Dpxvr00292&af_id=hirohirohota-990&ch=api,26.6021,normal_sale,"{""total_score"": 26.6021, ""review_score"": 17.8201, ""commission_score"": 5.782, ""discount_score"": 3.0, ""deadline_score"": 0.0, ""expected_commission"": 289.1}",価格差から始める
2026-06-13T22:19:33,sale_flash,pxvr00292,【VR】42人の放課後天使と33時間20分！！ナマ中出しいちゃシコ美少女制服プレイ！！,佐藤しお、新井リマ,VR,単品VRセール型,deadline_first,20260613-pxvr00292-deadline_first,"【VRセール情報】
佐藤しお、新井リマさんの人気VR『42人の放課後天使と33時間20分』
6/16までのセール対象！
通常590円 ➔ 413円。

学園シチュの距離感がVRと相性よすぎます…！
価格が戻る前にこのチャンスをお見逃しなく！

#佐藤しお #VR動画 #FANZA #セール
https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3Dpxvr00292&af_id=hirohirohota-990&ch=api",590,413,6/16まで,direct,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3Dpxvr00292&af_id=hirohirohota-990&ch=api,26.6021,normal_sale,"{""total_score"": 26.6021, ""review_score"": 17.8201, ""commission_score"": 5.782, ""discount_score"": 3.0, ""deadline_score"": 0.0, ""expected_commission"": 289.1}",期限から始める
2026-06-13T22:19:33,sale_flash,pxvr00292,【VR】42人の放課後天使と33時間20分！！ナマ中出しいちゃシコ美少女制服プレイ！！,佐藤しお、新井リマ,VR,単品VRセール型,actress_first,20260613-pxvr00292-actress_first,"【VRセール情報】
佐藤しお、新井リマさんの人気VR『42人の放課後天使と33時間20分』
今なら30%OFFの大特価！
通常590円 ➔ 413円。

学園シチュの距離感がVRと相性よすぎます…！
6/16までなのでこのチャンスをお見逃しなく！

#佐藤しお #VR動画 #FANZA #セール
https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3Dpxvr00292&af_id=hirohirohota-990&ch=api",590,413,6/16まで,direct,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3Dpxvr00292&af_id=hirohirohota-990&ch=api,26.6021,normal_sale,"{""total_score"": 26.6021, ""review_score"": 17.8201, ""commission_score"": 5.782, ""discount_score"": 3.0, ""deadline_score"": 0.0, ""expected_commission"": 289.1}",女優名から始める
2026-06-13T22:19:33,sale_flash,urvrsp00559,【VR】【8K】大乱交！ヤリサー合宿VR！！ エロすぎる乱痴気パーティーゲームでテンアゲMAX酒池肉林！！ ハメっぱなし！射精しっぱなし！の1泊2日,,VR,単品VRセール型,price_first,20260613-urvrsp00559-price_first,"【VRセール情報】
対象作品の8KVR『大』
今なら30%OFFの大特価！
通常1,980円 ➔ 1,386円。

8K対応の没入感をセール価格で試せます…！
6/16までなのでこのチャンスをお見逃しなく！

#VR動画 #FANZA #セール
https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3Durvrsp00559&af_id=hirohirohota-990&ch=api",1980,1386,6/16まで,direct,https://al.fanza.co.jp/?lurl=https%3A%2F%2Fvideo.dmm.co.jp%2Fav%2Fcontent%2F%3Fid%3Durvrsp00559&af_id=hirohirohota-990&ch=api,40.7175,high_commission_individual,"{""total_score"": 40.7175, ""review_score"": 18.3135, ""commission_score"": 19.404, ""discount_score"": 3.0, ""deadline_score"": 0.0, ""expected_commission"": 970.2}",価格差から始める
